"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:03,6001516","conhost.exe","1204","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"16:53:03,6001936","conhost.exe","1204","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE","SUCCESS","Desired Access: Query Value"
"16:53:03,6002374","conhost.exe","1204","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE\LaunchUserOOBE","NAME NOT FOUND","Length: 16"
"16:53:03,6002761","conhost.exe","1204","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\OOBE","SUCCESS",""
"16:53:03,9457068","cmd.exe","860","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:03,9458001","cmd.exe","860","QueryDirectory","D:\CreateProcess-gcc-issue\gcc.*","NO SUCH FILE","FileInformationClass: FileFullDirectoryInformation, Filter: gcc.*"
"16:53:03,9458520","cmd.exe","860","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:03,9460428","cmd.exe","860","CreateFile","C:\Program Files\Microsoft\jdk-11.0.12.7-hotspot\bin","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:03,9460976","cmd.exe","860","QueryDirectory","C:\Program Files\Microsoft\jdk-11.0.12.7-hotspot\bin\gcc.*","NO SUCH FILE","FileInformationClass: FileFullDirectoryInformation, Filter: gcc.*"
"16:53:03,9461378","cmd.exe","860","CloseFile","C:\Program Files\Microsoft\jdk-11.0.12.7-hotspot\bin","SUCCESS",""
"16:53:03,9463140","cmd.exe","860","CreateFile","C:\Program Files\Microsoft\jdk-11.0.14.101-hotspot\bin","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:03,9463685","cmd.exe","860","QueryDirectory","C:\Program Files\Microsoft\jdk-11.0.14.101-hotspot\bin\gcc.*","NO SUCH FILE","FileInformationClass: FileFullDirectoryInformation, Filter: gcc.*"
"16:53:03,9464077","cmd.exe","860","CloseFile","C:\Program Files\Microsoft\jdk-11.0.14.101-hotspot\bin","SUCCESS",""
"16:53:03,9466605","cmd.exe","860","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:03,9467164","cmd.exe","860","QueryDirectory","C:\Windows\System32\gcc.*","NO SUCH FILE","FileInformationClass: FileFullDirectoryInformation, Filter: gcc.*"
"16:53:03,9467609","cmd.exe","860","CloseFile","C:\Windows\System32","SUCCESS",""
"16:53:03,9469330","cmd.exe","860","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:03,9470190","cmd.exe","860","QueryDirectory","C:\Windows\gcc.*","NO SUCH FILE","FileInformationClass: FileFullDirectoryInformation, Filter: gcc.*"
"16:53:03,9470558","cmd.exe","860","CloseFile","C:\Windows","SUCCESS",""
